month,ts_code,factor_score
2023-12,300474.SZ,0.5266793841089448
2023-12,600750.SH,0.5217097840852714
2023-12,000582.SZ,0.5192494087610066
2023-12,601198.SH,0.518472492691967
2023-12,300324.SZ,0.5182959708296986
2023-12,002773.SZ,0.5181012814552977
2023-12,600329.SH,0.5177147636878009
2023-12,600566.SH,0.5169335336533107
2023-12,000761.SZ,0.5165775379008444
2023-12,600201.SH,0.516481933199519
2023-12,000997.SZ,0.5151505984000987
2023-12,600118.SH,0.5141705503964424
2023-12,603698.SH,0.5140877489014568
2023-12,600488.SH,0.5118458869815403
2023-12,600292.SH,0.5101236402006355
2023-12,000623.SZ,0.5080613283789899
2023-12,600864.SH,0.5075565999313935
2023-12,001965.SZ,0.5068112579385547
2023-12,002029.SZ,0.5063513510604414
2023-12,600941.SH,0.5063379700522461
2023-12,600422.SH,0.5044556924326271
2023-12,000559.SZ,0.5034973812705019
2023-12,000900.SZ,0.5028638325567113
2023-12,600983.SH,0.5019665735668747
2023-12,601990.SH,0.5017593082487027
2023-12,603826.SH,0.5004412876634587
2023-12,601298.SH,0.49615004193194984
2023-12,300476.SZ,0.4958010429135249
2023-12,603556.SH,0.49368837582838365
2023-12,601985.SH,0.49294711417208414
2023-12,002479.SZ,0.490928924282076
2023-12,601519.SH,0.4894914883932178
2023-12,601011.SH,0.48757603341512346
2023-12,000680.SZ,0.48756012821582784
2023-12,000166.SZ,0.4873641733568317
2023-12,000967.SZ,0.48700883056921856
2023-12,601333.SH,0.4860495859074452
2023-12,600918.SH,0.48489400619185746
2023-12,600251.SH,0.4842671162431179
2023-12,601899.SH,0.48216822930806286
2023-12,300782.SZ,0.48196275738091493
2023-12,600320.SH,0.47984926075891143
2023-12,601811.SH,0.4792070076777043
2023-12,600967.SH,0.4782946922883788
2023-12,600601.SH,0.47764394249890735
2023-12,601688.SH,0.4751714818130305
2023-12,600498.SH,0.47445918844006696
2023-12,600717.SH,0.47178256118319534
2023-12,002230.SZ,0.4709374029614258
2023-12,600837.SH,0.47001577335180755
2023-12,300070.SZ,0.46902028531149326
2023-12,000783.SZ,0.4690126038077652
2023-12,601158.SH,0.46518720240951184
2023-12,688538.SH,0.46384579581129143
2023-12,601058.SH,0.4634539799216182
2023-12,002444.SZ,0.4629457976741356
2023-12,601106.SH,0.4628051941627528
2023-12,600637.SH,0.46127473302419664
2023-12,000686.SZ,0.4607350380777295
2023-12,601088.SH,0.4589905540738433
2023-12,300159.SZ,0.45733373799321775
2023-12,688153.SH,0.4572873723763203
2023-12,002093.SZ,0.4564996943070916
2023-12,000829.SZ,0.4562383569036383
2023-12,300180.SZ,0.4551321152582538
2023-12,600871.SH,0.4547396600340344
2023-12,000572.SZ,0.45331057982070433
2023-12,000932.SZ,0.45324312249256044
2023-12,002465.SZ,0.4527571998115808
2023-12,002600.SZ,0.4506431064808655
2023-12,600572.SH,0.4496905577796868
2023-12,002275.SZ,0.4490644040011981
2023-12,600098.SH,0.44852922708916554
2023-12,002262.SZ,0.44650161498240726
2023-12,601728.SH,0.4456272691707146
2023-12,002075.SZ,0.44483825390837356
2023-12,600757.SH,0.4445354705018489
2023-12,002267.SZ,0.44396746017532746
2023-12,002276.SZ,0.4438586362604051
2023-12,600509.SH,0.4433515277311404
2023-12,600058.SH,0.4420698694233639
2023-12,600787.SH,0.4413455905808834
2023-12,002673.SZ,0.44119554905942526
2023-12,000883.SZ,0.4407416779291876
2023-12,605499.SH,0.43867660950383675
2023-12,601997.SH,0.43822716242889737
2023-12,002028.SZ,0.4372154527277402
2023-12,601108.SH,0.43663823513129896
2023-12,000709.SZ,0.43590395580784375
2023-12,002602.SZ,0.435499032759702
2023-12,688318.SH,0.4353809999172864
2023-12,300383.SZ,0.43416499137327136
2023-12,601658.SH,0.43391243904813104
2023-12,600874.SH,0.43345244944090183
2023-12,600611.SH,0.433137666813661
2023-12,601212.SH,0.43174302879635185
2023-12,002948.SZ,0.43120284553724303
2023-12,000403.SZ,0.4309809282240713
2023-12,002807.SZ,0.4303468206581539
2023-12,002573.SZ,0.42967145779380184
2023-12,601179.SH,0.42865742670288287
2023-12,000898.SZ,0.42851103960562137
2023-12,600938.SH,0.4278890991020328
2023-12,000563.SZ,0.4275196628699527
2023-12,000962.SZ,0.4251163089124813
2023-12,000566.SZ,0.4235754963930686
2023-12,600490.SH,0.4234866776853506
2023-12,000703.SZ,0.4222637043716465
2023-12,600280.SH,0.42192636404326656
2023-12,600157.SH,0.4218682016933726
2023-12,601696.SH,0.42173232996315413
2023-12,601816.SH,0.42108603234261993
2023-12,600019.SH,0.4200067834508543
2023-12,600903.SH,0.41930401311283666
2023-12,600109.SH,0.41836920625433743
2023-12,000727.SZ,0.4156429999392374
2023-12,002436.SZ,0.4155140281468779
2023-12,603501.SH,0.41442549530861783
2023-12,000728.SZ,0.414407157311273
2023-12,688012.SH,0.41438947369881407
2023-12,601118.SH,0.4130919365246771
2023-12,002926.SZ,0.41140374660106116
2023-12,000895.SZ,0.4108498808802936
2023-12,688183.SH,0.4107355079142082
2023-12,002194.SZ,0.4098789549000827
2023-12,601101.SH,0.4092097942748199
2023-12,601229.SH,0.4072674967744754
2024-01,300114.SZ,4.4443463276447215
2024-01,302132.SZ,4.4443463276447215
2024-01,300308.SZ,3.7709452037285525
2024-01,000766.SZ,3.62630854422761
2024-01,300972.SZ,3.2919374771396845
2024-01,300394.SZ,3.1126461427930097
2024-01,688506.SH,2.6223897928667967
2024-01,300735.SZ,2.2370028674685747
2024-01,300857.SZ,1.9353016590294427
2024-01,688256.SH,1.8382280165719669
2024-01,300570.SZ,1.5860023917834576
2024-01,688525.SH,1.5456961732426355
2024-01,300765.SZ,1.5185595678824588
2024-01,002261.SZ,1.5168173053191234
2024-01,600839.SH,1.4922511172238735
2024-01,601127.SH,1.449807906985379
2024-01,002387.SZ,1.3060090677364653
2024-01,000536.SZ,1.2827713105726524
2024-01,002456.SZ,1.2600403683972419
2024-01,600066.SH,1.2201882614570154
2024-01,002315.SZ,1.20674617221088
2024-01,601288.SH,1.181096383069626
2024-01,688036.SH,1.1422226417373404
2024-01,002292.SZ,1.13474890629183
2024-01,603556.SH,1.1326155718204685
2024-01,300002.SZ,1.1255434657274979
2024-01,600025.SH,1.1235531352922796
2024-01,601328.SH,1.1233575796036919
2024-01,600535.SH,1.1227745605859225
2024-01,600612.SH,1.099337780864705
2024-01,688578.SH,1.0925890520752022
2024-01,002238.SZ,1.0916614508906624
2024-01,600468.SH,1.0906578754744587
2024-01,600377.SH,1.0843666555805722
2024-01,601985.SH,1.078295071365672
2024-01,600941.SH,1.0740190631011561
2024-01,600938.SH,1.0668856890957126
2024-01,603019.SH,1.0598359353069762
2024-01,600971.SH,1.0524648002222363
2024-01,300418.SZ,1.048322629386471
2024-01,603979.SH,1.0262870628895162
2024-01,601939.SH,1.0249174338950127
2024-01,002318.SZ,1.0187621055704537
2024-01,000543.SZ,1.0170353598434767
2024-01,600350.SH,1.0114637971999134
2024-01,601398.SH,1.0061620472039416
2024-01,688041.SH,1.0056502957042717
2024-01,002236.SZ,0.9978594585926089
2024-01,600023.SH,0.995486451682114
2024-01,601567.SH,0.994266869020359
2024-01,601988.SH,0.9736243458102891
2024-01,601858.SH,0.9696747434198055
2024-01,000338.SZ,0.9681616829007151
2024-01,600161.SH,0.9642124364270709
2024-01,600100.SH,0.9563971716197956
2024-01,600985.SH,0.9463746803356775
2024-01,600900.SH,0.9458340494573254
2024-01,603000.SH,0.9449438894761951
2024-01,000429.SZ,0.9441610610024882
2024-01,000426.SZ,0.9368274508396505
2024-01,002463.SZ,0.9342088333953934
2024-01,600546.SH,0.9260800833658156
2024-01,600422.SH,0.9024703032535879
2024-01,600415.SH,0.8935187193313687
2024-01,600674.SH,0.874079049981594
2024-01,300459.SZ,0.8729336902261673
2024-01,600312.SH,0.8718578443451719
2024-01,000988.SZ,0.8714063726487473
2024-01,002600.SZ,0.8700393302643346
2024-01,300567.SZ,0.8687811281793288
2024-01,002252.SZ,0.8687531195891693
2024-01,600566.SH,0.8683093904497117
2024-01,688387.SH,0.8655882243631635
2024-01,600642.SH,0.8625601493103061
2024-01,600015.SH,0.8571454855763574
2024-01,600398.SH,0.8554214745279871
2024-01,688336.SH,0.8538378664869889
2024-01,600750.SH,0.8424841503109524
2024-01,601168.SH,0.8406475742632867
2024-01,002512.SZ,0.8377317792739956
2024-01,603379.SH,0.8352809931082512
2024-01,002122.SZ,0.829292978127059
2024-01,300832.SZ,0.8288519920477706
2024-01,600863.SH,0.8208223364171805
2024-01,600016.SH,0.817653722212849
2024-01,002131.SZ,0.8176017079618212
2024-01,601138.SH,0.8164810533257664
2024-01,601229.SH,0.8022570539722831
2024-01,601169.SH,0.796837320172177
2024-01,600989.SH,0.7903268961646127
2024-01,601298.SH,0.7895512235285409
2024-01,000157.SZ,0.7838379707260035
2024-01,601225.SH,0.7827619043666448
2024-01,000598.SZ,0.7793933677694806
2024-01,300866.SZ,0.771702060155113
2024-01,601077.SH,0.7665023740238618
2024-01,601688.SH,0.7664584174910152
